AphiaID	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
349181	1	0	0	0	NA
348785	1	0	0	0	NA
350191	1	0	0	0	NA
135837	1	0	0	0	NA
478459	1	NA	NA	NA	NA
135980	1	0	0	0	NA
354118	1	0	0	0	NA
1115838	1	0	0	0	NA
348881	1	0	0	0	NA
349599	1	0	0	0	NA
479369	1	NA	NA	NA	NA
360832	1	0	0	0	NA
357628	1	0	0	0	NA
349743	1	0	0	0	NA
349550	1	0	0	0	NA
135745	1	0	0	0	NA
349674	1	0	0	0	NA
349710	1	0	0	0	NA
1116227	1	0	0	0	NA
352722	1	1	0	0	NA
353237	1	0	0	0	NA
354383	1	0	0	0	NA
135738	1	0	0	0	NA
355363	1	0	0	0	NA
352967	1	0	0	0	NA
352983	1	0	0	0	NA
1420662	1	0	0	NA	NA
760020	1	NA	0	0	NA
352443	1	0	0	0	NA
465247	1	0	0	0	NA
364578	1	0	0	0	NA
355061	1	0	0	0	NA
128814	1	0	0	0	NA
346305	1	1	0	0	NA
361854	0	1	1	0	NA
361440	1	1	0	0	NA
354022	1	0	0	0	NA
590708	1	0	0	0	NA
356007	1	0	0	0	NA
579993	1	0	0	0	NA
366582	1	NA	NA	NA	NA
459328	1	0	0	0	NA
396650	1	0	0	0	NA
236218	1	NA	NA	NA	NA
221055	1	NA	NA	NA	NA
110695	1	NA	NA	NA	NA
110702	1	NA	NA	NA	NA
237868	1	NA	NA	NA	0
110703	1	NA	NA	NA	NA
110705	1	NA	NA	NA	NA
110713	1	NA	NA	NA	NA
110718	1	NA	NA	NA	NA
377462	1	0	0	0	0
377452	1	0	0	0	0
377653	1	0	0	0	0
377511	1	0	0	0	0
377703	1	0	0	0	0
377534	1	0	0	0	0
377706	1	1	0	0	0
377535	1	0	0	0	0
210403	1	0	0	0	0
210378	1	1	0	0	0
220250	1	0	0	0	0
246428	1	0	0	0	0
107084	1	0	0	0	0
514090	1	0	0	0	0
246164	1	0	0	0	0
467797	1	0	0	0	0
210324	1	0	0	0	0
467762	1	0	0	0	0
865897	1	0	0	0	0
368025	1	0	0	0	0
368045	1	0	0	0	0
412223	1	0	0	0	0
366508	1	0	0	0	0
412243	1	0	0	0	0
366553	1	0	0	0	0
366746	1	0	0	0	0
211135	1	0	0	0	0
367432	1	0	0	0	0
367449	1	0	0	0	0
208673	1	0	0	0	0
367472	1	0	0	0	0
208687	1	1	0	0	0
367578	1	0	0	0	0
367579	1	0	0	0	0
367598	1	0	0	0	0
367658	1	0	0	0	0
367689	1	0	0	0	0
368200	1	0	0	0	0
368229	1	0	0	0	0
368277	1	0	0	0	0
431873	1	0	0	0	0
217271	1	0	0	0	0
414620	1	1	0	0	0
211140	1	0	0	0	0
392261	1	0	0	0	0
392262	1	0	0	0	0
392215	1	0	0	0	0
392211	1	0	0	0	0
392216	1	0	0	0	0
392640	1	0	0	0	0
392171	1	0	0	0	0
388557	1	0	0	0	0
392321	1	0	0	0	0
388558	1	0	0	0	0
392350	1	0	0	0	0
392896	1	0	0	0	0
392382	1	0	0	0	0
392892	1	0	0	0	0
887714	1	0	0	0	0
731442	1	0	0	0	0
388547	1	0	0	0	0
1033200	1	0	0	0	0
392009	1	0	0	0	0
392010	1	0	0	0	0
1310478	1	0	0	0	0
509185	1	0	0	0	0
439988	1	0	0	0	0
452719	1	0	0	0	0
440090	1	0	0	0	0
440037	1	0	0	0	0
440047	1	NA	NA	NA	NA
440058	1	0	0	0	0
440183	1	0	0	0	0
440195	1	0	0	0	0
